trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 0.95}",25,9,-91.61907870960746,"{0: 9, 1: 2, 2: 3, 3: 1, 4: 1}",1
2,False,"{'a': 0.2, 'e': 0.8999999999999999}",20,0,-60.31079744981867,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
3,False,"{'a': 0.2, 'e': 0.8499999999999999}",20,0,-196.2043943878392,"{0: 8, 1: 5, 2: 2, 3: 2, 4: 3}",0
4,False,"{'a': 0.2, 'e': 0.7999999999999998}",25,0,-191.74957373215554,"{0: 14, 1: 3, 2: 3, 3: 2, 4: 3}",0
5,False,"{'a': 0.2, 'e': 0.7499999999999998}",20,0,-178.15260809247104,"{0: 9, 1: 4, 2: 3, 3: 1, 4: 3}",0
6,False,"{'a': 0.2, 'e': 0.6999999999999997}",20,4,1.175499728268968,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.2, 'e': 0.6499999999999997}",20,10,-61.857622076216224,"{0: 5, 1: 0, 2: 3, 3: 2, 4: 0}",1
8,False,"{'a': 0.2, 'e': 0.5999999999999996}",20,0,-110.26429359176932,"{0: 13, 1: 1, 2: 2, 3: 3, 4: 1}",0
9,False,"{'a': 0.2, 'e': 0.5499999999999996}",20,0,-36.33855834089989,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
10,False,"{'a': 0.2, 'e': 0.4999999999999996}",25,18,8.651437190568906,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.2, 'e': 0.4499999999999996}",20,0,10.284199086016693,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
12,False,"{'a': 0.2, 'e': 0.39999999999999963}",20,0,-52.193777874916876,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.2, 'e': 0.34999999999999964}",30,12,17.229780997956855,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.2, 'e': 0.29999999999999966}",20,0,-14.867832740105264,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
15,False,"{'a': 0.2, 'e': 0.24999999999999967}",25,10,11.124532726843245,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.2, 'e': 0.19999999999999968}",30,8,8.734137856544294,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.2, 'e': 0.1499999999999997}",25,0,16.920284739401655,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.2, 'e': 0.09999999999999969}",20,0,2.5782202619761287,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
19,False,"{'a': 0.2, 'e': 0.049999999999999684}",25,11,20.16194594526711,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.2, 'e': -3.191891195797325e-16}",30,13,-34.531649269562,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",25,19,12.300930216761351,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,0,-49.858591250549836,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",25,19,-30.06418898043301,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",25,0,-3.117646225748554,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,5,30.94906744776749,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,8,27.695235529221097,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,0,26.032314536044037,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,14,16.06949227345203,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",35,16,22.843606448475015,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,17,15.604316693506103,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
