trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 1.0}",20,0,-122.84432750601343,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
2,False,"{'a': 0.002, 'e': 0.9980019986673331}",30,11,-92.24756584321483,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 1}",1
3,False,"{'a': 0.002, 'e': 0.9960079893439915}",20,0,-198.4406864923315,"{0: 10, 1: 0, 2: 5, 3: 2, 4: 3}",0
4,False,"{'a': 0.002, 'e': 0.9940179640539353}",25,1,-127.54294204355642,"{0: 10, 1: 4, 2: 8, 3: 2, 4: 0}",1
5,False,"{'a': 0.002, 'e': 0.9920319148370607}",25,0,-251.34782872432558,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 5}",0
6,False,"{'a': 0.002, 'e': 0.9900498337491681}",20,0,-170.6936624669058,"{0: 10, 1: 0, 2: 6, 3: 2, 4: 2}",0
7,False,"{'a': 0.002, 'e': 0.9880717128619305}",25,0,-137.38965442812278,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
8,False,"{'a': 0.002, 'e': 0.9860975442628619}",20,0,-107.75865814091456,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
9,False,"{'a': 0.002, 'e': 0.9841273200552851}",30,0,-152.78354893276222,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
10,False,"{'a': 0.002, 'e': 0.9821610323583008}",30,0,-218.65102294461286,"{0: 15, 1: 5, 2: 5, 3: 2, 4: 3}",0
11,False,"{'a': 0.002, 'e': 0.9801986733067553}",20,0,-173.2127753021897,"{0: 10, 1: 2, 2: 3, 3: 3, 4: 2}",0
12,False,"{'a': 0.002, 'e': 0.97824023505121}",30,0,-108.84490405422878,"{0: 21, 1: 4, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.002, 'e': 0.9762857097579093}",20,0,-186.91719491247144,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 4}",0
14,False,"{'a': 0.002, 'e': 0.9743350896087494}",35,0,-287.7039517888004,"{0: 18, 1: 2, 2: 8, 3: 3, 4: 4}",0
15,False,"{'a': 0.002, 'e': 0.9723883668012469}",30,0,-124.15591111266914,"{0: 17, 1: 4, 2: 7, 3: 1, 4: 1}",0
16,False,"{'a': 0.002, 'e': 0.9704455335485082}",20,0,-118.18749251676748,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
17,False,"{'a': 0.002, 'e': 0.9685065820791976}",30,0,-111.0906766810448,"{0: 16, 1: 4, 2: 9, 3: 1, 4: 0}",0
18,False,"{'a': 0.002, 'e': 0.9665715046375066}",20,0,-155.0116638204284,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
19,False,"{'a': 0.002, 'e': 0.9646402934831231}",20,0,-92.51099442680774,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
20,False,"{'a': 0.002, 'e': 0.9627129408911995}",25,2,-91.57371441790885,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 1}",1
21,False,"{'a': 0.002, 'e': 0.9607894391523232}",20,7,-56.37586338684123,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 1}",1
22,False,"{'a': 0.002, 'e': 0.9588697805724845}",25,0,-170.04133175884724,"{0: 10, 1: 6, 2: 7, 3: 0, 4: 2}",0
23,False,"{'a': 0.002, 'e': 0.9569539574730467}",20,0,-70.76812784107076,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
24,False,"{'a': 0.002, 'e': 0.9550419621907147}",20,0,-148.211853557655,"{0: 9, 1: 3, 2: 4, 3: 3, 4: 1}",0
25,False,"{'a': 0.002, 'e': 0.9531337870775047}",30,0,-152.54129363479788,"{0: 19, 1: 3, 2: 4, 3: 2, 4: 2}",0
26,False,"{'a': 0.002, 'e': 0.951229424500714}",25,0,-170.56166235638437,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
27,False,"{'a': 0.002, 'e': 0.9493288668428895}",20,0,-75.19815879526477,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
28,False,"{'a': 0.002, 'e': 0.9474321065017983}",25,0,-113.00069713170953,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
29,False,"{'a': 0.002, 'e': 0.9455391358903963}",25,0,-70.52816387015692,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
30,False,"{'a': 0.002, 'e': 0.9436499474367985}",35,0,-231.34995179896538,"{0: 19, 1: 1, 2: 11, 3: 1, 4: 3}",0
31,False,"{'a': 0.002, 'e': 0.9417645335842487}",25,0,-107.6046143795831,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
32,False,"{'a': 0.002, 'e': 0.9398828867910889}",25,0,-187.04320836365125,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 3}",0
33,False,"{'a': 0.002, 'e': 0.9380049995307295}",25,0,-55.061339729845486,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
34,False,"{'a': 0.002, 'e': 0.9361308642916188}",20,0,-58.01414655057033,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
35,False,"{'a': 0.002, 'e': 0.9342604735772135}",25,0,-99.84140122698767,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
36,False,"{'a': 0.002, 'e': 0.9323938199059483}",20,0,-117.05112881805653,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
37,False,"{'a': 0.002, 'e': 0.9305308958112057}",35,0,-119.26255524950881,"{0: 22, 1: 4, 2: 7, 3: 1, 4: 1}",0
38,False,"{'a': 0.002, 'e': 0.9286716938412872}",25,0,-157.52011441583844,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
39,False,"{'a': 0.002, 'e': 0.9268162065593822}",20,0,-139.513080121245,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 3}",0
40,False,"{'a': 0.002, 'e': 0.9249644265435393}",20,0,-111.06821911430731,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
41,False,"{'a': 0.002, 'e': 0.9231163463866358}",25,3,-16.599131158422097,"{0: 15, 1: 6, 2: 1, 3: 0, 4: 0}",1
42,False,"{'a': 0.002, 'e': 0.9212719586963487}",25,0,-67.73643949709938,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
43,False,"{'a': 0.002, 'e': 0.9194312560951247}",25,0,-77.93060698945871,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
44,False,"{'a': 0.002, 'e': 0.9175942312201509}",25,17,-23.761111185356466,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
45,False,"{'a': 0.002, 'e': 0.9157608767233256}",20,0,-65.91989080919946,"{0: 11, 1: 6, 2: 1, 3: 2, 4: 0}",0
46,False,"{'a': 0.002, 'e': 0.9139311852712282}",20,0,-103.14472707872963,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
47,False,"{'a': 0.002, 'e': 0.9121051495450904}",35,0,-184.74662897233316,"{0: 21, 1: 4, 2: 7, 3: 0, 4: 3}",0
48,False,"{'a': 0.002, 'e': 0.910282762240767}",25,13,-24.8083741155147,"{0: 7, 1: 3, 2: 2, 3: 0, 4: 0}",1
49,False,"{'a': 0.002, 'e': 0.9084640160687062}",30,0,-209.34518935536556,"{0: 16, 1: 2, 2: 9, 3: 0, 4: 3}",0
50,False,"{'a': 0.002, 'e': 0.9066489037539209}",20,0,-72.98652448638094,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
51,False,"{'a': 0.002, 'e': 0.9048374180359595}",30,6,-58.006369167003925,"{0: 16, 1: 4, 2: 2, 3: 2, 4: 0}",1
52,False,"{'a': 0.002, 'e': 0.9030295516688768}",25,1,-64.91283793180904,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 1}",1
53,False,"{'a': 0.002, 'e': 0.9012252974212047}",25,0,-10.464524735821444,"{0: 19, 1: 5, 2: 1, 3: 0, 4: 0}",0
54,False,"{'a': 0.002, 'e': 0.899424648075924}",20,0,-90.4134196180531,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
55,False,"{'a': 0.002, 'e': 0.8976275964304349}",20,0,-75.73813902535852,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
56,False,"{'a': 0.002, 'e': 0.8958341352965282}",20,12,-21.71399143814431,"{0: 4, 1: 2, 2: 2, 3: 0, 4: 0}",1
57,False,"{'a': 0.002, 'e': 0.8940442575003572}",25,5,-79.26855215178469,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",1
58,False,"{'a': 0.002, 'e': 0.8922579558824083}",25,0,-61.794455470493624,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
59,False,"{'a': 0.002, 'e': 0.8904752232974726}",25,0,-77.10396317979753,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
60,False,"{'a': 0.002, 'e': 0.8886960526146174}",25,0,-162.90231000346878,"{0: 13, 1: 4, 2: 4, 3: 2, 4: 2}",0
61,False,"{'a': 0.002, 'e': 0.8869204367171575}",20,0,-126.25409921378476,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
62,False,"{'a': 0.002, 'e': 0.8851483685026271}",20,6,-101.222005622459,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 2}",1
63,False,"{'a': 0.002, 'e': 0.8833798408827509}",25,0,-161.90011341400134,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
64,False,"{'a': 0.002, 'e': 0.8816148467834161}",30,0,-92.80456697906753,"{0: 20, 1: 3, 2: 4, 3: 3, 4: 0}",0
65,False,"{'a': 0.002, 'e': 0.8798533791446438}",25,0,-100.90006814052305,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
66,False,"{'a': 0.002, 'e': 0.8780954309205613}",25,6,-139.4744806111094,"{0: 9, 1: 4, 2: 3, 3: 1, 4: 2}",1
67,False,"{'a': 0.002, 'e': 0.8763409950793732}",20,0,-93.38309597201376,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
68,False,"{'a': 0.002, 'e': 0.874590064603334}",25,7,-61.39260739816953,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 0}",1
69,False,"{'a': 0.002, 'e': 0.8728426324887193}",25,14,-25.57586709863001,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
