trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.01395439978673,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-144.87666538380893,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-116.81035875429205,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-47.792319722543084,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-136.99965243531997,"{0: 14, 1: 1, 2: 7, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-147.35682274843072,"{0: 12, 1: 2, 2: 1, 3: 3, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-63.94385489195259,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-129.06600592907938,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-83.52616981134062,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-28.714225504693296,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.73789397652928,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-53.8428966537086,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-141.6460968308946,"{0: 14, 1: 1, 2: 7, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.58836688779903,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.38859032018384,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,11,-24.83610403916753,"{0: 5, 1: 1, 2: 3, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.02138251278461,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-219.6103839273579,"{0: 13, 1: 3, 2: 4, 3: 1, 4: 4}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,15,-26.615632619278713,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-84.4666128571283,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,5,-110.58210117630087,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",1
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-59.74882958730333,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-119.68313378605247,"{0: 11, 1: 6, 2: 6, 3: 2, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-111.31339227649062,"{0: 11, 1: 1, 2: 4, 3: 4, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-112.90806104498695,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",35,0,-225.3935848772991,"{0: 15, 1: 6, 2: 9, 3: 4, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-127.8880367850545,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-87.43867506000926,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-93.36942047544721,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-266.50563285146853,"{0: 5, 1: 1, 2: 9, 3: 1, 4: 4}",0
